pygame 2.4.0 (SDL 2.26.5, Python 3.11.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
 0: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (input)
 1: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (output)
couldnt find device
using input_id :0:
<Event(32771-MidiIn {'status': 230, 'data1': 31, 'data2': 61, 'data3': 0, 'timestamp': 5592, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 61, 'data2': 0, 'data3': 0, 'timestamp': 5593, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 30, 'data2': 61, 'data3': 0, 'timestamp': 5593, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 29, 'data2': 61, 'data3': 0, 'timestamp': 5594, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 21, 'data2': 61, 'data3': 0, 'timestamp': 5595, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 62, 'data2': 0, 'data3': 0, 'timestamp': 5596, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 18, 'data2': 61, 'data3': 0, 'timestamp': 5596, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 15, 'data2': 61, 'data3': 0, 'timestamp': 5597, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 13, 'data2': 61, 'data3': 0, 'timestamp': 5598, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 63, 'data2': 0, 'data3': 0, 'timestamp': 5599, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 11, 'data2': 61, 'data3': 0, 'timestamp': 5599, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 9, 'data2': 61, 'data3': 0, 'timestamp': 5600, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 64, 'data2': 0, 'data3': 0, 'timestamp': 5601, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 6, 'data2': 61, 'data3': 0, 'timestamp': 5601, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 5, 'data2': 61, 'data3': 0, 'timestamp': 5602, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 65, 'data2': 0, 'data3': 0, 'timestamp': 5603, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 3, 'data2': 61, 'data3': 0, 'timestamp': 5603, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 44, 'data3': 0, 'timestamp': 5604, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 1, 'data2': 61, 'data3': 0, 'timestamp': 5604, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 66, 'data2': 0, 'data3': 0, 'timestamp': 5605, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 95, 'data2': 60, 'data3': 0, 'timestamp': 5605, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 67, 'data2': 0, 'data3': 0, 'timestamp': 5606, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 97, 'data2': 60, 'data3': 0, 'timestamp': 5606, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 68, 'data2': 0, 'data3': 0, 'timestamp': 5608, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 95, 'data2': 60, 'data3': 0, 'timestamp': 5608, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 69, 'data2': 0, 'data3': 0, 'timestamp': 5609, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 95, 'data2': 60, 'data3': 0, 'timestamp': 5609, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 93, 'data2': 60, 'data3': 0, 'timestamp': 5610, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 70, 'data2': 0, 'data3': 0, 'timestamp': 5611, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 90, 'data2': 60, 'data3': 0, 'timestamp': 5611, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 71, 'data2': 0, 'data3': 0, 'timestamp': 5612, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 87, 'data2': 60, 'data3': 0, 'timestamp': 5612, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 71, 'data2': 0, 'data3': 0, 'timestamp': 5613, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 44, 'data3': 0, 'timestamp': 5613, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 83, 'data2': 60, 'data3': 0, 'timestamp': 5613, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 72, 'data2': 0, 'data3': 0, 'timestamp': 5614, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 57, 'data2': 60, 'data3': 0, 'timestamp': 5614, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 38, 'data2': 60, 'data3': 0, 'timestamp': 5615, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 43, 'data3': 0, 'timestamp': 5616, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 22, 'data2': 60, 'data3': 0, 'timestamp': 5616, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 7, 'data2': 60, 'data3': 0, 'timestamp': 5617, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 73, 'data2': 0, 'data3': 0, 'timestamp': 5618, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 122, 'data2': 59, 'data3': 0, 'timestamp': 5618, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 93, 'data2': 59, 'data3': 0, 'timestamp': 5619, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 77, 'data2': 0, 'data3': 0, 'timestamp': 5620, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 43, 'data3': 0, 'timestamp': 5620, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 47, 'data2': 59, 'data3': 0, 'timestamp': 5620, 'vice_id': 0})>
